id,session_id,raw_text,predicted_intent,text_hash,cleaned_text,snorkel_intent,snorkel_confidence
1,sim_v2_0,giá tour nt nhiêu tiền,unlabeled,241b1f3b5c3f955b7dcb6f304a9e10fa,giá tour Nha_Trang_nhiêu tiền,search_price,0.7356107189803185
2,sim_v2_1,thuê xe đạp dạo đlạt,unlabeled,03d6f1fc23707e989b63457c1b68bc0e,thuê xe_đạp dạo Đà_Lạt,search_activity,0.7172096466701441
4,sim_v2_3,thời tiết hôm nay,unlabeled,5a272ebf19befa2f73a7f93971435d0c,thời_tiết hôm_nay,out_of_scope,0.7646650326777873
5,sim_v2_4,chơi dù lượn ở nha trang,unlabeled,751fd66f7c0472f498487ab2de3dd238,chơi dù lượn ở Nha_Trang,search_activity,0.7172096466701441
6,sim_v2_5,di chuyển bằng phương tiện gì,unlabeled,ac2cb6706fb75d6a772c7ba45bb45457,đi chuyển bằng phương_tiện gì,ask_tour_info,0.7519487721356817
7,sim_v2_6,xin bảng giá ik đlạt nha,unlabeled,b28369808fccbb235e61959543f008cf,xin bảng giá đi Đà_Lạt nha,search_price,0.7356107189803185
11,sim_v2_10,tư vấn tour pq,unlabeled,e574f6e270c43b6f7e680c809bf88018,tư_vấn tour Phú_Quốc,search_travel,0.7489806249626828
14,sim_v2_13,xin bảng giá đi phú quốc,unlabeled,50ce3652c91e0c6755d287d521144b1f,xin bảng giá đi phú_quốc,search_price,0.7356107189803185
15,sim_v2_14,ở hà nội có tour lặn không,unlabeled,c5b490c2afa5aecb44fe26b10a40971b,ở hà_nội có tour lặn không,search_activity,0.7172096466701441
16,sim_v2_15,ik nt chơi,unlabeled,7cb18d0db02016674cd9b9850e77f4c8,đi Nha_Trang chơi,search_activity,0.7172096466701441
17,sim_v2_16,cách nấu bún bò,unlabeled,2819f84206aaacb276161b8831526d9f,cách nấu bún bò,out_of_scope,0.7646650326777873
19,sim_v2_18,có tour đà nẵng ko bot z,unlabeled,8a11d40cef4847b29e32139b25c3df37,có tour đà_nẵng không bot vậy,search_travel,0.7489806249626828
23,sim_v2_22,tour đà lạt bao gồm ăn uống chưa,unlabeled,76fb17a17450cb3c9f9262dfce3b215a,tour Đà_Lạt bao_gồm ăn_uống chưa,ask_tour_info,0.7519487721356817
27,sim_v2_26,có cắm trại ở đà nẵng k,unlabeled,5c48b3f3b625d714b87520a3582d09a1,có cắm trại ở đà_nẵng không,search_activity,0.7172096466701441
30,sim_v2_29,có khuyến mãi tour hà nội ko nha,unlabeled,7e90737a9252c34f1e434a3cc2f77f8d,có khuyến_mãi tour hà_nội không nha,search_price,0.7356107189803185
31,sim_v2_30,có hướng dẫn viên ko z,unlabeled,f3c3f0f142c0342f27edbc1c8c5a7e25,có hướng_dẫn_viên không vậy,ask_tour_info,0.7519487721356817
32,sim_v2_31,chơi dù lượn ở hà nội dợ,unlabeled,54d43d212653d0fcb2033d036bbbcfbf,chơi dù lượn ở hà_nội dợ,search_activity,0.7172096466701441
34,sim_v2_33,tour sapa rẻ nhất là bao nhiêu,unlabeled,cc7450e8eeb4a07d0b82e1622aa28c29,tour Sa_Pa rẻ nhất là bao_nhiêu,search_price,0.7356107189803185
35,sim_v2_34,có cắm trại ở nt k,unlabeled,cefa8689712f1c22f1e6feb27692a2af,có cắm trại ở Nha_Trang không,search_activity,0.7172096466701441
36,sim_v2_35,muốn đi trekking pq,unlabeled,b5ebb94776d0f0aa90b5ecda378e42b6,muốn đi trekking Phú_Quốc,search_activity,0.7172096466701441
38,sim_v2_37,có hướng dẫn viên không,unlabeled,b0e11bb77cc1918edcb0e02407c538ee,có hướng_dẫn_viên không,ask_tour_info,0.7519487721356817
39,sim_v2_38,tìm tour đi hà nội,unlabeled,d7df7a8baf73ab0742b1684bf807e50d,tìm tour đi hà_nội,search_travel,0.7489806249626828
40,sim_v2_39,chi phí đi sapa mấy củ,unlabeled,d00fd666ddb95ac58b60745bd3301d39,chi_phí đi Sa_Pa mấy triệu,search_price,0.7356107189803185
41,sim_v2_40,có khuyến mãi tour sài gòn ko dợ,unlabeled,bd6ed9fc4c3172b4852c215ff8ecd275,có khuyến_mãi tour sài_gòn không dợ,search_price,0.7356107189803185
42,sim_v2_41,xin lịch trình đi sài gòn,unlabeled,f4efedafa7ce2e8261007f4fafab24c3,xin lịch_trình đi sài gòn,ask_tour_info,0.7519487721356817
43,sim_v2_42,muốn đi trekking phú quốc,unlabeled,3889683d2ccc60f1075db13faffe5509,muốn đi trekking_phú_quốc,search_activity,0.7172096466701441
44,sim_v2_43,tư vấn tour sapa,unlabeled,ded6d69fa2f3b33ace34727e2a65555f,tư_vấn tour_Sa_Pa,search_travel,0.7489806249626828
45,sim_v2_44,muốn đi trekking hà nội,unlabeled,a5cb19852452a69254a4b711fd8f075a,muốn đi trekking hà_nội,search_activity,0.7172096466701441
46,sim_v2_45,ik nt chơi bot,unlabeled,87c75287321477652145b892b9689d9c,đi Nha_Trang chơi bot,search_activity,0.7172096466701441
47,sim_v2_46,chi phí đi pq mấy củ,unlabeled,24ee8ecca9ea6fc1d04fdf1d4429b4d7,chi_phí đi Phú_Quốc mấy triệu,search_price,0.7356107189803185
49,sim_v2_48,có khuyến mãi tour hà nội không,unlabeled,88a20d3b7ad9e51cec379c4838a1cce4,có khuyến_mãi tour hà_nội không,search_price,0.7356107189803185
51,sim_v2_50,tư vấn tour nt dợ,unlabeled,36121fc523a572e51ff1adba86adcb7d,tư_vấn tour Nha_Trang dợ,search_travel,0.7489806249626828
54,sim_v2_53,có khuyến mãi tour pq không,unlabeled,afa4c28b5fd0a0f0c3b9cb8b20372371,có khuyến_mãi tour Phú_Quốc không,search_price,0.7356107189803185
56,sim_v2_55,có khuyến mãi tour nt ko z,unlabeled,2ee68e30120b435041d33af1e8bbbc5e,có khuyến_mãi tour Nha_Trang không vậy,search_price,0.7356107189803185
57,sim_v2_56,tour nha trang rẻ nhất là bao nhiêu bot,unlabeled,437e6bf969d6f1e7bd7f7dc77e1b3f24,tour Nha_Trang rẻ nhất là bao_nhiêu bot,search_price,0.7356107189803185
58,sim_v2_57,thời tiết hôm nay z,unlabeled,ee66990a8ca8403f25b11f57b8d4c887,thời_tiết hôm_nay vậy,out_of_scope,0.7646650326777873
59,sim_v2_58,giá tour pq nhiêu tiền,unlabeled,c86b728c39f07e2d51c8048730ac1095,giá tour Phú_Quốc_nhiêu tiền,search_price,0.7356107189803185
63,sim_v2_62,muốn đi phú quốc,unlabeled,84d78f152d5751464ee97fa720ac8a5c,muốn đi phú_quốc,search_travel,0.7489806249626828
64,sim_v2_63,có khuyến mãi tour sài gòn ko z,unlabeled,5627c6ee072605bf0d153de6dc6cfc20,có khuyến_mãi tour sài_gòn không vậy,search_price,0.7356107189803185
66,sim_v2_65,các hoạt động vui chơi tại đà nẵng,unlabeled,219d8e64d840dcc0e0d595e2e057b2f8,các hoạt_động vui_chơi tại đà_nẵng,search_activity,0.7172096466701441
67,sim_v2_66,chi phí ik phú quốc mấy củ nha,unlabeled,7c5f52b88b6629e3716502cb58589ec5,chi_phí đi phú_quốc mấy triệu nha,search_price,0.7356107189803185
68,sim_v2_67,thuê xe đạp dạo sài gòn,unlabeled,8498ca418e8956261f23ec8d5575c87d,thuê xe_đạp dạo sài gòn,search_activity,0.7172096466701441
71,sim_v2_70,ik đà nẵng chơi,unlabeled,004b5c8106041d981fd6baa83821c30c,đi đà_nẵng chơi,search_activity,0.7172096466701441
72,sim_v2_71,thuê xe đạp dạo nha trang,unlabeled,b15404e043c027733675450bfa0d2572,thuê xe_đạp dạo Nha_Trang,search_activity,0.7172096466701441
73,sim_v2_72,tour đlạt rẻ nhất là bao nhiêu,unlabeled,9563d865bf7206dbece4a1c2bc940438,tour Đà_Lạt rẻ nhất là bao_nhiêu,search_price,0.7356107189803185
74,sim_v2_73,xin lịch trình đi đà lạt,unlabeled,4a27d7b1d2b8a17061f5f8a122e80e3c,xin lịch_trình đi Đà_Lạt,ask_tour_info,0.7519487721356817
75,sim_v2_74,gửi mình chi tiết tour sapa,unlabeled,fe70ea40482bf39250e5cc9cc3d51405,gửi mình chi_tiết tour_Sa_Pa,ask_tour_info,0.7519487721356817
76,sim_v2_75,các hoạt động vui chơi tại hà nội,unlabeled,5158aaf23e6b05e3cc692585deba70e5,các hoạt_động vui_chơi tại hà_nội,search_activity,0.7172096466701441
77,sim_v2_76,ik sài gòn chơi bot,unlabeled,45051709de721f65da898f666d7b669c,đi sài_gòn chơi bot,search_activity,0.7172096466701441
78,sim_v2_77,tìm tour ik hà nội bot,unlabeled,aaec3e8aa757fe2751228315d3305638,tìm tour đi hà_nội bot,search_travel,0.7489806249626828
79,sim_v2_78,xin lịch trình đi nt,unlabeled,98b001fae0877221b72631459228a04e,xin lịch_trình đi Nha_Trang,ask_tour_info,0.7519487721356817
80,sim_v2_79,tư vấn tour đà lạt z,unlabeled,ffda0541348771d1c8e22c99afa25bee,tư_vấn tour Đà_Lạt vậy,search_travel,0.7489806249626828
83,sim_v2_82,ở sài gòn có tour lặn không,unlabeled,3e47437c428d018e6e17485a4345bc06,ở sài_gòn có tour lặn không,search_activity,0.7172096466701441
